case,dataset,image_hw,input_c,output_c,base_dim,model_variant,compile_source,activation,activation_degree,activation_nominal_depth_degree7,activation_fit_rule,policy,layout_estimator,rotation_estimator,diagonal_estimator,slot_count,compile_node_index,unet22_body_linear_layer_index,linear_layer_index_including_output,node,op_type,is_output_layer,provider_static_supported,provider_static_kind,provider_static_fallback_reason,ct_count,input_ct_count_compact,output_ct_count_compact,selected_input_ct_count,selected_output_ct_count,alpha,beta,output_alpha,output_beta,assigned_level,module_depth,output_level_before_bootstrap,bootstrap_after_layer,bootstrap_reason,bootstrap_before_nodes,bootstrap_boundary_nodes,bootstrap_target_levels,bootstrap_input_shape_after_layer,bootstrap_input_elements_after_layer,bootstrap_count_after_layer,bootstrap_slots_after_layer,bootstrap_ct_count_after_layer,rotation,lt_rotation_estimate,planner_rotation_cost_estimate,relayout_rotation_estimate,relayout_mask_mult_estimate,relayout_sparse_lt_estimate,relayout_depth_estimate,producer_fused_rotation_estimate,consumer_fused_rotation_estimate,diagonal_count,activation_ct_mult_estimate,lt_transform_count_estimate,lt_bsgs_group_count_estimate,lt_baby_rotation_estimate,lt_giant_rotation_estimate,lt_input_cross_rotation_estimate,lt_local_submatrix_rotation_estimate,lt_output_materialize_rotation_estimate,lt_local_program_count_estimate,lt_recovery_program_count_estimate,lt_rho_hat_per_program_estimate,lt_unfused_rotation_estimate,lt_same_input_fusion_savings_estimate,lt_input_channel_multiplier,lt_output_channel_multiplier,lt_estimator,layout_mode,edge_kind,incoming_edge_kind,edge_kind_counts,edge_kind_detail,edge_carry_count,edge_fused_count,edge_explicit_count,edge_bootstrap_drop_count,edge_bootstrap_drop_detail,edge_layout_changed_count,edge_carry_halo_count,edge_bootstrap_drop_ct_saved,edge_bootstrap_drop_slots_saved,relayout_fusion_side,relayout_note,input_gap,output_gap,input_shape,output_shape,fhe_input_shape,fhe_output_shape,clear_input_min,clear_input_max,clear_output_min,clear_output_max,in_channels_layer,out_channels_layer,activation_kind_layer,activation_degree_layer,activation_depth_layer,activation_prescale_layer,activation_constant_layer,activation_fit_low,activation_fit_high,kernel,stride,padding,output_padding,dilation,groups,source_nodes,source_layout,required_layout,selected_input_layout,selected_output_layout,physical_layout,source_physical_layout,target_physical_layout,incoming_edge_count,edge_relayout_count,output_relayout,consumer_fused_relayout_count,producer_fused_relayout_count,producer_materialized_halo,planner_metric_source,case_total_ciphertext_tiles,case_stored_slots,case_relayout_count,case_bootstrap_l_eff,case_input_level,case_bootstrap_count,case_bootstrapper_slots,case_raw_planner_reported_rotation_estimate,case_reported_rotation_estimate,case_lt_bsgs_rotation_estimate,case_planner_rotation_cost_estimate,case_relayout_rotation_estimate,case_relayout_mask_mult_estimate,case_relayout_depth_estimate,case_diagonal_count_estimate,case_activation_ct_mult_estimate,case_ct_pt_mult_estimate,case_halo_redundancy_ratio,case_objective,notes,case_edge_carry_count,case_edge_fused_count,case_edge_explicit_count,case_edge_bootstrap_drop_count,case_edge_layout_changed_count,case_edge_carry_halo_count,case_edge_bootstrap_drop_ct_saved,case_edge_bootstrap_drop_slots_saved
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,UNet22PlusOutput_real_trace_22_body_layers_plus_1x1_output,OrionTracer+StatsTracker+fit+NetworkDAG+layout_policy+BootstrapSolver,silu,7,3,Chebyshev.fit from StatsTracker; depth=3 plus 1 if fitted prescale!=1,dp,template,template_unweighted_diagonal_bsgs,template_unweighted_diagonal,32768,46,,,dec1a_act,SiLU,False,,chebyshev_polynomial_activation,not_a_provider_linear_kernel,37,36,36,37,37,1,1,1,1,4,3,1,True,child_level_exceeds_output_level,dec1b,dec1b,5,1x32x192x192,1179648,36,32768,36,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none_activation_polynomial,halo_local,carry+bootstrap-drop,carry,carry=1;fused=0;explicit=0;bootstrap-drop=1,dec1a->dec1a_act:carry:layout_same_carry_halo:mode=halo_local;bootstrap-boundary->dec1b:bootstrap-drop:drop_halo_before_bootstrap,1,0,0,1,bootstrap-boundary->dec1b:bootstrap-drop:drop_halo_before_bootstrap,0,1,1,12288,none,,1,1,1x32x192x192,1x32x192x192,1x32x192x192,1x32x192x192,-0.250694215297699,0.2067786157131195,-0.1097169816493988,0.11404073238372803,,,silu,7,3,1.0,0.0,-0.479430615901947,0.43551504611968994,,,,,,,dec1a,"{""bottom_beta"":1,""gap"":1,""stored_slots"":1191936,""stride"":1,""tile_count"":37,""top_beta"":1}","{""bottom_beta"":0,""gap"":1,""stored_slots"":1179648,""stride"":1,""tile_count"":36,""top_beta"":0}","{""bottom_beta"":1,""gap"":1,""stored_slots"":1191936,""stride"":1,""tile_count"":37,""top_beta"":1}","{""bottom_beta"":1,""core_slots"":1179648,""gap"":1,""stored_slots"":1191936,""stride"":1,""tile_count"":37,""top_beta"":1}",logical_halo_compact,logical_halo_compact,logical_halo_compact,1,0,False,0,0,False,planner_estimate,881,28164480,4,10,8,139,32768,1292172,1292064,1291920,1291920,144,144,4,20221184,858,20222186,0.026895721326164874,1292922.0,"planner-only metadata compile; real traced DAG with 22 body LT layers plus explicit 1x1 output; SiLU7 fit uses StatsTracker ranges; edge_kind: carry=layout unchanged, fused=layout change hidden in operator, explicit=separate re-layout, bootstrap-drop=CT-saving drop halo before bootstrap; no dense HE transform generation or FHE forward",31,18,4,5,22,22,5,61440
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,UNet22PlusOutput_real_trace_22_body_layers_plus_1x1_output,OrionTracer+StatsTracker+fit+NetworkDAG+layout_policy+BootstrapSolver,silu,7,3,Chebyshev.fit from StatsTracker; depth=3 plus 1 if fitted prescale!=1,dp,template,template_unweighted_diagonal_bsgs,template_unweighted_diagonal,32768,47,22,22,dec1b,Conv2d,False,True,u22_same_shape_conv_provider,,36,36,36,37,36,1,1,0,0,5,1,4,False,,,,,,0,0,0,0,3584,3584,3584,0,0,0,0,0,0,26624,0,4096,64,512,3072,0,3584,0,128,0,6,38496,34912,32,32,template,compact_halo_shared,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,dec1a_act->dec1b:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,,1,0,0,0,target,target:consumer_fused_relayout,1,1,1x32x192x192,1x32x192x192,1x32x192x192,1x32x192x192,-0.1097169816493988,0.11404073238372803,-0.11970777064561844,0.10836450755596161,32,32,,,,,,,,3x3,1x1,1x1,,1x1,1,dec1a_act,"{""bottom_beta"":1,""gap"":1,""stored_slots"":1191936,""stride"":1,""tile_count"":37,""top_beta"":1}","{""bottom_beta"":1,""gap"":1,""stored_slots"":1191936,""stride"":1,""tile_count"":37,""top_beta"":1}","{""bottom_beta"":1,""gap"":1,""stored_slots"":1191936,""stride"":1,""tile_count"":37,""top_beta"":1}","{""bottom_beta"":0,""core_slots"":1179648,""gap"":1,""stored_slots"":1179648,""stride"":1,""tile_count"":36,""top_beta"":0}",packed_compact,logical_halo_compact,logical_halo_compact,1,0,False,1,0,False,planner_estimate,881,28164480,4,10,8,139,32768,1292172,1292064,1291920,1291920,144,144,4,20221184,858,20222186,0.026895721326164874,1292922.0,"planner-only metadata compile; real traced DAG with 22 body LT layers plus explicit 1x1 output; SiLU7 fit uses StatsTracker ranges; edge_kind: carry=layout unchanged, fused=layout change hidden in operator, explicit=separate re-layout, bootstrap-drop=CT-saving drop halo before bootstrap; no dense HE transform generation or FHE forward",31,18,4,5,22,22,5,61440
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,UNet22PlusOutput_real_trace_22_body_layers_plus_1x1_output,OrionTracer+StatsTracker+fit+NetworkDAG+layout_policy+BootstrapSolver,silu,7,3,Chebyshev.fit from StatsTracker; depth=3 plus 1 if fitted prescale!=1,dp,template,template_unweighted_diagonal_bsgs,template_unweighted_diagonal,32768,48,,,dec1b_act,SiLU,False,,chebyshev_polynomial_activation,not_a_provider_linear_kernel,36,36,36,36,36,0,0,0,0,4,3,1,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none_activation_polynomial,halo_local,carry,carry,carry=1;fused=0;explicit=0;bootstrap-drop=0,dec1b->dec1b_act:carry:layout_same_carry_compact:mode=halo_local,1,0,0,0,,0,0,0,0,none,,1,1,1x32x192x192,1x32x192x192,1x32x192x192,1x32x192x192,-0.11970777064561844,0.10836450755596161,-0.05627566948533058,0.0571151003241539,,,silu,7,3,1.0,0.0,-0.23374392092227936,0.22240065038204193,,,,,,,dec1b,"{""bottom_beta"":0,""gap"":1,""stored_slots"":1179648,""stride"":1,""tile_count"":36,""top_beta"":0}","{""bottom_beta"":0,""gap"":1,""stored_slots"":1179648,""stride"":1,""tile_count"":36,""top_beta"":0}","{""bottom_beta"":0,""gap"":1,""stored_slots"":1179648,""stride"":1,""tile_count"":36,""top_beta"":0}","{""bottom_beta"":0,""core_slots"":1179648,""gap"":1,""stored_slots"":1179648,""stride"":1,""tile_count"":36,""top_beta"":0}",packed_compact,packed_compact,packed_compact,1,0,False,0,0,False,planner_estimate,881,28164480,4,10,8,139,32768,1292172,1292064,1291920,1291920,144,144,4,20221184,858,20222186,0.026895721326164874,1292922.0,"planner-only metadata compile; real traced DAG with 22 body LT layers plus explicit 1x1 output; SiLU7 fit uses StatsTracker ranges; edge_kind: carry=layout unchanged, fused=layout change hidden in operator, explicit=separate re-layout, bootstrap-drop=CT-saving drop halo before bootstrap; no dense HE transform generation or FHE forward",31,18,4,5,22,22,5,61440
192x192_IBSR_BRAIN_2D,IBSR BRAIN 2D,192x192,1,4,32,UNet22PlusOutput_real_trace_22_body_layers_plus_1x1_output,OrionTracer+StatsTracker+fit+NetworkDAG+layout_policy+BootstrapSolver,silu,7,3,Chebyshev.fit from StatsTracker; depth=3 plus 1 if fitted prescale!=1,dp,template,template_unweighted_diagonal_bsgs,template_unweighted_diagonal,32768,49,,23,output,Conv2d,True,True,u22_same_shape_conv_provider,,5,36,5,36,5,0,0,0,0,1,1,0,False,,,,,,0,0,0,0,576,576,576,0,0,0,0,0,0,256,0,256,64,64,512,0,576,0,64,0,2,512,0,32,4,count_only,halo_local,carry,carry,carry=1;fused=0;explicit=0;bootstrap-drop=0,dec1b_act->output:carry:layout_same_carry_compact:mode=halo_local,1,0,0,0,,0,0,0,0,none,,1,1,1x32x192x192,1x4x192x192,1x32x192x192,1x4x192x192,-0.05627566948533058,0.0571151003241539,-0.17434081435203552,0.10310232639312744,32,4,,,,,,,,1x1,1x1,0x0,,1x1,1,dec1b_act,"{""bottom_beta"":0,""gap"":1,""stored_slots"":1179648,""stride"":1,""tile_count"":36,""top_beta"":0}","{""bottom_beta"":0,""gap"":1,""stored_slots"":1179648,""stride"":1,""tile_count"":36,""top_beta"":0}","{""bottom_beta"":0,""gap"":1,""stored_slots"":1179648,""stride"":1,""tile_count"":36,""top_beta"":0}","{""bottom_beta"":0,""gap"":1,""stored_slots"":147456,""stride"":1,""tile_count"":5,""top_beta"":0}",,packed_compact,packed_compact,1,0,False,0,0,False,planner_estimate,881,28164480,4,10,8,139,32768,1292172,1292064,1291920,1291920,144,144,4,20221184,858,20222186,0.026895721326164874,1292922.0,"planner-only metadata compile; real traced DAG with 22 body LT layers plus explicit 1x1 output; SiLU7 fit uses StatsTracker ranges; edge_kind: carry=layout unchanged, fused=layout change hidden in operator, explicit=separate re-layout, bootstrap-drop=CT-saving drop halo before bootstrap; no dense HE transform generation or FHE forward",31,18,4,5,22,22,5,61440
224x224_HanCo_Hand,HanCo Hand Segmentation Dataset,224x224,3,1,32,UNet22PlusOutput_real_trace_22_body_layers_plus_1x1_output,OrionTracer+StatsTracker+fit+NetworkDAG+layout_policy+BootstrapSolver,silu,7,3,Chebyshev.fit from StatsTracker; depth=3 plus 1 if fitted prescale!=1,dp,template,template_unweighted_diagonal_bsgs,template_unweighted_diagonal,32768,1,1,1,enc1a,Conv2d,False,True,u22_same_shape_conv_provider,,50,5,49,5,50,1,1,1,1,8,1,7,False,,,,,,0,0,0,0,336,336,336,0,0,0,0,0,0,2496,0,384,6,48,288,0,336,0,12,0,6,3609,3273,3,32,template,native_halo_stripe,carry,carry,carry=1;fused=0;explicit=0;bootstrap-drop=0,x->enc1a:carry:layout_same_carry_halo:mode=native_halo_stripe,1,0,0,0,,0,1,0,0,source,source:producer_materialized_halo,1,1,1x3x224x224,1x32x224x224,1x3x224x224,1x32x224x224,-4.626502513885498,4.1073760986328125,-3.172959804534912,2.936343193054199,3,32,,,,,,,,3x3,1x1,1x1,,1x1,1,x,"{""bottom_beta"":1,""gap"":1,""stored_slots"":151872,""stride"":1,""tile_count"":5,""top_beta"":1}","{""bottom_beta"":1,""gap"":1,""stored_slots"":151872,""stride"":1,""tile_count"":5,""top_beta"":1}","{""bottom_beta"":1,""gap"":1,""stored_slots"":151872,""stride"":1,""tile_count"":5,""top_beta"":1}","{""bottom_beta"":1,""core_slots"":1605632,""gap"":1,""stored_slots"":1619968,""stride"":1,""tile_count"":50,""top_beta"":1}",logical_halo_compact,logical_halo_compact,native_source_stripe,1,0,False,0,0,True,planner_estimate,1189,38292800,4,10,8,192,32768,1292318,1292210,1292016,1292016,194,194,4,21140672,1158,21142024,0.023015607047108387,1293368.0,"planner-only metadata compile; real traced DAG with 22 body LT layers plus explicit 1x1 output; SiLU7 fit uses StatsTracker ranges; edge_kind: carry=layout unchanged, fused=layout change hidden in operator, explicit=separate re-layout, bootstrap-drop=CT-saving drop halo before bootstrap; no dense HE transform generation or FHE forward",31,18,4,1,22,22,1,14336
224x224_HanCo_Hand,HanCo Hand Segmentation Dataset,224x224,3,1,32,UNet22PlusOutput_real_trace_22_body_layers_plus_1x1_output,OrionTracer+StatsTracker+fit+NetworkDAG+layout_policy+BootstrapSolver,silu,7,3,Chebyshev.fit from StatsTracker; depth=3 plus 1 if fitted prescale!=1,dp,template,template_unweighted_diagonal_bsgs,template_unweighted_diagonal,32768,2,,,enc1a_act,SiLU,False,,chebyshev_polynomial_activation,not_a_provider_linear_kernel,50,49,49,50,50,1,1,1,1,7,4,3,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none_activation_polynomial,halo_local,carry,carry,carry=1;fused=0;explicit=0;bootstrap-drop=0,enc1a->enc1a_act:carry:layout_same_carry_halo:mode=halo_local,1,0,0,0,,0,1,0,0,none,,1,1,1x32x224x224,1x32x224x224,1x32x224x224,1x32x224x224,-3.172959804534912,2.936343193054199,-0.27846455574035645,2.7883925437927246,,,silu,7,4,0.16368479356722457,0.019365309627894237,-6.227611541748047,5.990994453430176,,,,,,,enc1a,"{""bottom_beta"":1,""gap"":1,""stored_slots"":1619968,""stride"":1,""tile_count"":50,""top_beta"":1}","{""bottom_beta"":0,""gap"":1,""stored_slots"":1605632,""stride"":1,""tile_count"":49,""top_beta"":0}","{""bottom_beta"":1,""gap"":1,""stored_slots"":1619968,""stride"":1,""tile_count"":50,""top_beta"":1}","{""bottom_beta"":1,""core_slots"":1605632,""gap"":1,""stored_slots"":1619968,""stride"":1,""tile_count"":50,""top_beta"":1}",logical_halo_compact,logical_halo_compact,logical_halo_compact,1,0,False,0,0,False,planner_estimate,1189,38292800,4,10,8,192,32768,1292318,1292210,1292016,1292016,194,194,4,21140672,1158,21142024,0.023015607047108387,1293368.0,"planner-only metadata compile; real traced DAG with 22 body LT layers plus explicit 1x1 output; SiLU7 fit uses StatsTracker ranges; edge_kind: carry=layout unchanged, fused=layout change hidden in operator, explicit=separate re-layout, bootstrap-drop=CT-saving drop halo before bootstrap; no dense HE transform generation or FHE forward",31,18,4,1,22,22,1,14336
224x224_HanCo_Hand,HanCo Hand Segmentation Dataset,224x224,3,1,32,UNet22PlusOutput_real_trace_22_body_layers_plus_1x1_output,OrionTracer+StatsTracker+fit+NetworkDAG+layout_policy+BootstrapSolver,silu,7,3,Chebyshev.fit from StatsTracker; depth=3 plus 1 if fitted prescale!=1,dp,template,template_unweighted_diagonal_bsgs,template_unweighted_diagonal,32768,3,2,2,enc1b,Conv2d,False,True,u22_same_shape_conv_provider,,49,49,49,50,49,1,1,0,0,3,1,2,True,child_level_exceeds_output_level,enc1b_act,enc1b_act,10,1x32x224x224,1605632,49,32768,49,3584,3584,3584,0,0,0,0,0,0,26624,0,4096,64,512,3072,0,3584,0,128,0,6,38496,34912,32,32,template,compact_halo_shared,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,enc1a_act->enc1b:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,,1,0,0,0,target,target:consumer_fused_relayout,1,1,1x32x224x224,1x32x224x224,1x32x224x224,1x32x224x224,-0.27846455574035645,2.7883925437927246,-0.9423152208328247,1.0831818580627441,32,32,,,,,,,,3x3,1x1,1x1,,1x1,1,enc1a_act,"{""bottom_beta"":1,""gap"":1,""stored_slots"":1619968,""stride"":1,""tile_count"":50,""top_beta"":1}","{""bottom_beta"":1,""gap"":1,""stored_slots"":1619968,""stride"":1,""tile_count"":50,""top_beta"":1}","{""bottom_beta"":1,""gap"":1,""stored_slots"":1619968,""stride"":1,""tile_count"":50,""top_beta"":1}","{""bottom_beta"":0,""core_slots"":1605632,""gap"":1,""stored_slots"":1605632,""stride"":1,""tile_count"":49,""top_beta"":0}",packed_compact,logical_halo_compact,logical_halo_compact,1,0,False,1,0,False,planner_estimate,1189,38292800,4,10,8,192,32768,1292318,1292210,1292016,1292016,194,194,4,21140672,1158,21142024,0.023015607047108387,1293368.0,"planner-only metadata compile; real traced DAG with 22 body LT layers plus explicit 1x1 output; SiLU7 fit uses StatsTracker ranges; edge_kind: carry=layout unchanged, fused=layout change hidden in operator, explicit=separate re-layout, bootstrap-drop=CT-saving drop halo before bootstrap; no dense HE transform generation or FHE forward",31,18,4,1,22,22,1,14336
224x224_HanCo_Hand,HanCo Hand Segmentation Dataset,224x224,3,1,32,UNet22PlusOutput_real_trace_22_body_layers_plus_1x1_output,OrionTracer+StatsTracker+fit+NetworkDAG+layout_policy+BootstrapSolver,silu,7,3,Chebyshev.fit from StatsTracker; depth=3 plus 1 if fitted prescale!=1,dp,template,template_unweighted_diagonal_bsgs,template_unweighted_diagonal,32768,4,,,enc1b_act,SiLU,False,,chebyshev_polynomial_activation,not_a_provider_linear_kernel,49,49,49,49,49,0,0,0,0,10,4,6,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none_activation_polynomial,halo_local,carry,carry,carry=1;fused=0;explicit=0;bootstrap-drop=0,enc1b->enc1b_act:carry:layout_same_carry_compact:mode=halo_local,1,0,0,0,,0,0,0,0,none,,1,1,1x32x224x224,1x32x224x224,1x32x224x224,1x32x224x224,-0.9423152208328247,1.0831818580627441,-0.26425620913505554,0.809240460395813,,,silu,7,4,0.4937059990230179,-0.03477338135847591,-1.9550635814666748,2.095930337905884,,,,,,,enc1b,"{""bottom_beta"":0,""gap"":1,""stored_slots"":1605632,""stride"":1,""tile_count"":49,""top_beta"":0}","{""bottom_beta"":0,""gap"":1,""stored_slots"":1605632,""stride"":1,""tile_count"":49,""top_beta"":0}","{""bottom_beta"":0,""gap"":1,""stored_slots"":1605632,""stride"":1,""tile_count"":49,""top_beta"":0}","{""bottom_beta"":0,""core_slots"":1605632,""gap"":1,""stored_slots"":1605632,""stride"":1,""tile_count"":49,""top_beta"":0}",packed_compact,packed_compact,packed_compact,1,0,False,0,0,False,planner_estimate,1189,38292800,4,10,8,192,32768,1292318,1292210,1292016,1292016,194,194,4,21140672,1158,21142024,0.023015607047108387,1293368.0,"planner-only metadata compile; real traced DAG with 22 body LT layers plus explicit 1x1 output; SiLU7 fit uses StatsTracker ranges; edge_kind: carry=layout unchanged, fused=layout change hidden in operator, explicit=separate re-layout, bootstrap-drop=CT-saving drop halo before bootstrap; no dense HE transform generation or FHE forward",31,18,4,1,22,22,1,14336
224x224_HanCo_Hand,HanCo Hand Segmentation Dataset,224x224,3,1,32,UNet22PlusOutput_real_trace_22_body_layers_plus_1x1_output,OrionTracer+StatsTracker+fit+NetworkDAG+layout_policy+BootstrapSolver,silu,7,3,Chebyshev.fit from StatsTracker; depth=3 plus 1 if fitted prescale!=1,dp,template,template_unweighted_diagonal_bsgs,template_unweighted_diagonal,32768,5,,,pool1,AvgPool2d,False,True,u22_pool_provider,,13,49,13,49,13,0,0,1,1,6,1,5,False,,,,,,0,0,0,0,160,160,160,0,0,0,0,0,0,320,0,96,64,128,32,0,160,0,96,0,2,224,64,32,1,template,halo_local,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,enc1b_act->pool1:fused:layout_changed_by_AvgPool2d:mode=halo_local,0,1,0,0,,1,0,0,0,source,source:producer_materialized_halo,1,2,1x32x224x224,1x32x112x112,1x32x224x224,1x8x224x224,-0.26425620913505554,0.809240460395813,-0.2052665799856186,0.3722532391548157,32,32,,,,,,,,2x2,2x2,0x0,,1x1,32,enc1b_act,"{""bottom_beta"":0,""gap"":1,""stored_slots"":1605632,""stride"":1,""tile_count"":49,""top_beta"":0}","{""bottom_beta"":0,""gap"":1,""stored_slots"":1605632,""stride"":2,""tile_count"":49,""top_beta"":0}","{""bottom_beta"":0,""gap"":1,""stored_slots"":1605632,""stride"":2,""tile_count"":49,""top_beta"":0}","{""bottom_beta"":1,""core_slots"":401408,""gap"":2,""stored_slots"":408576,""stride"":1,""tile_count"":13,""top_beta"":1}",logical_halo_compact,packed_compact,packed_compact,1,0,False,0,0,True,planner_estimate,1189,38292800,4,10,8,192,32768,1292318,1292210,1292016,1292016,194,194,4,21140672,1158,21142024,0.023015607047108387,1293368.0,"planner-only metadata compile; real traced DAG with 22 body LT layers plus explicit 1x1 output; SiLU7 fit uses StatsTracker ranges; edge_kind: carry=layout unchanged, fused=layout change hidden in operator, explicit=separate re-layout, bootstrap-drop=CT-saving drop halo before bootstrap; no dense HE transform generation or FHE forward",31,18,4,1,22,22,1,14336
224x224_HanCo_Hand,HanCo Hand Segmentation Dataset,224x224,3,1,32,UNet22PlusOutput_real_trace_22_body_layers_plus_1x1_output,OrionTracer+StatsTracker+fit+NetworkDAG+layout_policy+BootstrapSolver,silu,7,3,Chebyshev.fit from StatsTracker; depth=3 plus 1 if fitted prescale!=1,dp,template,template_unweighted_diagonal_bsgs,template_unweighted_diagonal,32768,6,3,3,enc2a,Conv2d,False,True,u22_same_shape_conv_provider,,25,13,25,13,25,1,1,1,1,5,1,4,False,,,,,,0,0,0,0,6656,6656,6656,0,0,0,0,0,0,53248,0,8192,64,512,6144,0,6656,0,128,0,6,77408,70752,32,64,template,compact_halo_shared,fused,fused,carry=0;fused=1;explicit=0;bootstrap-drop=0,pool1->enc2a:fused:layout_changed_hidden_in_Conv2d:mode=compact_halo_shared,0,1,0,0,,1,0,0,0,source+target,target:consumer_fused_relayout;source:producer_materialized_halo,2,2,1x32x112x112,1x64x112x112,1x8x224x224,1x16x224x224,-0.2052665799856186,0.3722532391548157,-0.1696891486644745,0.19393953680992126,32,64,,,,,,,,3x3,1x1,1x1,,1x1,1,pool1,"{""bottom_beta"":1,""gap"":2,""stored_slots"":408576,""stride"":1,""tile_count"":13,""top_beta"":1}","{""bottom_beta"":1,""gap"":2,""stored_slots"":408576,""stride"":1,""tile_count"":13,""top_beta"":1}","{""bottom_beta"":1,""gap"":2,""stored_slots"":408576,""stride"":1,""tile_count"":13,""top_beta"":1}","{""bottom_beta"":1,""core_slots"":802816,""gap"":2,""stored_slots"":817152,""stride"":1,""tile_count"":25,""top_beta"":1}",logical_halo_compact,logical_halo_compact,logical_halo_compact,1,0,False,1,0,True,planner_estimate,1189,38292800,4,10,8,192,32768,1292318,1292210,1292016,1292016,194,194,4,21140672,1158,21142024,0.023015607047108387,1293368.0,"planner-only metadata compile; real traced DAG with 22 body LT layers plus explicit 1x1 output; SiLU7 fit uses StatsTracker ranges; edge_kind: carry=layout unchanged, fused=layout change hidden in operator, explicit=separate re-layout, bootstrap-drop=CT-saving drop halo before bootstrap; no dense HE transform generation or FHE forward",31,18,4,1,22,22,1,14336
224x224_HanCo_Hand,HanCo Hand Segmentation Dataset,224x224,3,1,32,UNet22PlusOutput_real_trace_22_body_layers_plus_1x1_output,OrionTracer+StatsTracker+fit+NetworkDAG+layout_policy+BootstrapSolver,silu,7,3,Chebyshev.fit from StatsTracker; depth=3 plus 1 if fitted prescale!=1,dp,template,template_unweighted_diagonal_bsgs,template_unweighted_diagonal,32768,7,,,enc2a_act,SiLU,False,,chebyshev_polynomial_activation,not_a_provider_linear_kernel,25,25,25,25,25,1,1,1,1,4,3,1,True,child_level_exceeds_output_level,enc2b,enc2b,10,1x16x224x224,802816,25,32768,25,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none_activation_polynomial,halo_local,carry,carry,carry=1;fused=0;explicit=0;bootstrap-drop=0,enc2a->enc2a_act:carry:layout_same_carry_halo:mode=halo_local,1,0,0,0,,0,1,0,0,none,,2,2,1x64x112x112,1x64x112x112,1x16x224x224,1x16x224x224,-0.1696891486644745,0.19393953680992126,-0.07766319066286087,0.10634354501962662,,,silu,7,3,1.0,0.0,-0.35150349140167236,0.37575387954711914,,,,,,,enc2a,"{""bottom_beta"":1,""gap"":2,""stored_slots"":817152,""stride"":1,""tile_count"":25,""top_beta"":1}","{""bottom_beta"":0,""gap"":2,""stored_slots"":802816,""stride"":1,""tile_count"":25,""top_beta"":0}","{""bottom_beta"":1,""gap"":2,""stored_slots"":817152,""stride"":1,""tile_count"":25,""top_beta"":1}","{""bottom_beta"":1,""core_slots"":802816,""gap"":2,""stored_slots"":817152,""stride"":1,""tile_count"":25,""top_beta"":1}",logical_halo_compact,logical_halo_compact,logical_halo_compact,1,0,False,0,0,False,planner_estimate,1189,38292800,4,10,8,192,32768,1292318,1292210,1292016,1292016,194,194,4,21140672,1158,21142024,0.023015607047108387,1293368.0,"planner-only metadata compile; real traced DAG with 22 body LT layers plus explicit 1x1 output; SiLU7 fit uses StatsTracker ranges; edge_kind: carry=layout unchanged, fused=layout change hidden in operator, explicit=separate re-layout, bootstrap-drop=CT-saving drop halo before bootstrap; no dense HE transform generation or FHE forward",31,18,4,1,22,22,1,14336
